number,name,status
287,reStructuredText Docstring Format,Active
272,API for Block Encryption Algorithms v1.0,Final
635,Structural Pattern Matching: Motivation and Rationale,Final
257,Docstring Conventions,Active
430,Migrating to Python 3 as the default online documentation,Final
249,Python Database API Specification v2.0,Final
101,Doing Python Releases 101,Active
20,The Zen of Python,Active
811,Defining Python Security Response Team membership and responsibilities,Active
732,The Python Documentation Editorial Board,Active
731,C API Working Group Charter,Active
729,Typing governance process,Active
609,Python Packaging Authority (PyPA) Governance,Active
247,API for Cryptographic Hash Functions,Final
248,Python Database API Specification v1.0,Final
545,Python Documentation Translations,Active
772,Packaging Council governance process,Accepted
387,Backwards Compatibility Policy,Active
11,CPython platform support,Active
761,Deprecating PGP signatures for CPython artifacts,Active
676,PEP Infrastructure Process,Active
602,Annual Release Cycle for Python,Active
8,Style Guide for Python Code,Active
7,Style Guide for C Code,Active
4,Deprecation of Standard Modules,Active
13,Python Language Governance,Active
12,Sample reStructuredText PEP Template,Active
10,Voting Guidelines,Active
